Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales,Outlet_Age
8.6,1.0,0.040197932,3.0,190.153,6.0,2.0,1.0,1.0,3036.048,20.0
12.6,0.0,0.049058014,1.0,62.7194,2.0,1.0,1.0,1.0,866.8716,23.0
17.7,0.0,0.01161096,5.0,95.041,6.0,2.0,1.0,1.0,868.869,20.0
14.15,0.0,0.183507295,14.0,82.4276,8.0,2.0,0.0,1.0,1137.1864,13.0
19.25,0.0,0.102349519,4.0,52.7956,2.0,1.0,1.0,1.0,928.1252,23.0
8.88,0.0,0.086708987,7.0,151.7682,1.0,0.0,2.0,1.0,762.341,3.0
20.5,0.0,0.032835147,9.0,40.2822,7.0,2.0,1.0,1.0,707.0796,18.0
16.384920618479377,0.0,0.033809913,3.0,180.5976,5.0,1.0,2.0,3.0,7968.2944,1.0
13.5,0.0,0.07266912,9.0,160.292,8.0,2.0,0.0,1.0,1438.128,13.0
10.970522339239267,0.0,0.144338493,8.0,224.4404,5.0,1.0,2.0,3.0,6976.2524,1.0
8.89,0.0,0.009163216,5.0,101.7016,0.0,2.0,2.0,0.0,101.2016,14.0
7.855,0.0,0.011307038,3.0,188.5188,3.0,1.0,2.0,2.0,952.094,25.0
7.235,0.0,0.076855628,9.0,116.0492,8.0,2.0,0.0,1.0,1969.4364,13.0
10.801593652819971,0.0,0.059956876,15.0,165.4526,5.0,1.0,2.0,3.0,5262.4832,1.0
6.92,0.0,0.038532062,4.0,60.5852,7.0,1.0,1.0,1.0,1314.2892,18.0
9.3,0.0,0.043209581,6.0,90.8172,2.0,1.0,1.0,1.0,535.3032,23.0
18.5,0.0,0.056816465,11.0,132.1284,0.0,2.0,2.0,0.0,263.6568,14.0
8.02,0.0,0.019866705,9.0,154.5972,6.0,2.0,1.0,1.0,1402.1748,20.0
9.195,0.0,0.048331717,9.0,105.1622,2.0,2.0,1.0,1.0,1693.7952,23.0
12.8,0.0,0.091221855,11.0,105.5938,7.0,1.0,1.0,1.0,2143.876,18.0
16.6,0.0,0.027622076,9.0,177.6344,9.0,1.0,0.0,1.0,2676.516,15.0
14.0,1.0,0.0,5.0,53.064,6.0,2.0,1.0,1.0,905.488,20.0
18.6,0.0,0.039355947,5.0,246.3802,9.0,1.0,0.0,1.0,7370.406,15.0
16.0,0.0,0.060836524,15.0,226.8404,6.0,2.0,1.0,1.0,6301.1312,20.0
17.6,0.0,0.082316506,8.0,160.692,6.0,2.0,1.0,1.0,1597.92,20.0
21.25,0.0,0.155350299,13.0,178.237,6.0,2.0,1.0,1.0,529.311,20.0
7.235,0.0,0.076841095,9.0,117.5492,6.0,2.0,1.0,1.0,1969.4364,20.0
14.6,0.0,0.151419185,14.0,50.3692,2.0,1.0,1.0,1.0,1034.6532,23.0
13.85,1.0,0.026001976,5.0,161.521,3.0,1.0,2.0,2.0,1794.331,25.0
13.65,1.0,0.073209447,5.0,197.6426,3.0,1.0,2.0,2.0,2768.3964,25.0
13.866663435823845,0.0,0.041683481,14.0,31.29,5.0,1.0,2.0,3.0,898.83,1.0
7.365,0.0,0.042560252,6.0,226.172,8.0,2.0,0.0,1.0,3169.208,13.0
18.35,0.0,0.014081156,9.0,223.5746,3.0,1.0,2.0,2.0,3589.9936,25.0
5.465,1.0,0.0,0.0,132.5626,3.0,1.0,2.0,2.0,262.3252,25.0
18.6,0.0,0.152918384,2.0,99.8358,2.0,1.0,1.0,1.0,1910.1802,23.0
13.85,0.0,0.030969274,14.0,140.9154,2.0,1.0,1.0,1.0,1701.7848,23.0
14.0,1.0,0.060376776,5.0,154.5656,1.0,0.0,2.0,1.0,2471.4496,3.0
14.0,1.0,0.04192285,13.0,54.764,1.0,0.0,2.0,1.0,1331.6,3.0
13.595269845422537,0.0,0.077367431,6.0,97.0094,5.0,1.0,2.0,3.0,1808.9786,1.0
5.905,0.0,0.045838211,3.0,222.5456,3.0,1.0,2.0,2.0,3315.684,25.0
7.27,0.0,0.071077939,14.0,114.2518,8.0,2.0,0.0,1.0,2618.5914,13.0
6.155,1.0,0.094659871,10.0,214.556,8.0,2.0,0.0,1.0,2769.728,13.0
19.5,1.0,0.077608838,14.0,233.4958,2.0,1.0,1.0,1.0,5375.0034,23.0
15.2,0.0,0.021327477,3.0,216.8824,2.0,1.0,1.0,1.0,2838.9712,23.0
12.15,1.0,0.042485444,3.0,125.0046,3.0,1.0,2.0,2.0,1743.0644,25.0
14.163840407426513,0.0,0.025578526,9.0,198.8084,5.0,1.0,2.0,3.0,5555.4352,1.0
12.6,0.0,0.0489808,1.0,61.9194,3.0,1.0,2.0,2.0,619.194,25.0
14.5,0.0,0.019471688,11.0,164.821,6.0,2.0,1.0,1.0,2120.573,20.0
16.6,0.0,0.122918852,6.0,173.0738,2.0,1.0,1.0,1.0,3823.0236,23.0
11.8,1.0,0.057373797,10.0,151.4366,1.0,0.0,2.0,1.0,1360.2294,3.0
13.1,1.0,0.044155597,6.0,178.8318,1.0,0.0,2.0,1.0,3969.4996,3.0
17.7,0.0,0.291865402,6.0,115.1834,0.0,2.0,2.0,0.0,345.5502,14.0
17.85,0.0,0.0,1.0,196.5794,0.0,2.0,2.0,0.0,585.2382,14.0
12.3,1.0,0.064750025,15.0,92.6804,7.0,2.0,1.0,1.0,1010.6844,18.0
11.8,0.0,0.098312421,8.0,81.4618,0.0,1.0,2.0,0.0,161.1236,14.0
10.456280044033232,1.0,0.191013663,14.0,42.1112,4.0,2.0,0.0,0.0,42.6112,1.0
11.1,0.0,0.176573035,0.0,157.4604,7.0,1.0,1.0,1.0,3010.7476,18.0
19.248929253599375,1.0,0.060134441,5.0,153.0656,5.0,1.0,2.0,3.0,6024.1584,1.0
11.3,0.0,0.007294652,10.0,198.1426,7.0,1.0,1.0,1.0,988.713,18.0
15.862648941380392,0.0,0.128478462,8.0,117.944,4.0,2.0,0.0,0.0,239.688,1.0
5.75,1.0,0.075107656,4.0,112.8176,1.0,0.0,2.0,1.0,1374.2112,3.0
7.498103004649047,1.0,0.049381406,0.0,226.8062,5.0,1.0,2.0,3.0,4739.8302,1.0
11.35,1.0,0.045165796,13.0,100.0016,3.0,1.0,2.0,2.0,1012.016,25.0
16.748170303503105,1.0,0.09415375,6.0,165.7526,4.0,2.0,0.0,0.0,657.8104,1.0
14.0,0.0,0.028907832,8.0,130.431,9.0,1.0,0.0,1.0,778.986,15.0
19.75,1.0,0.018059621,5.0,179.766,7.0,1.0,1.0,1.0,2336.958,18.0
6.525,0.0,0.090436094,9.0,85.0882,9.0,1.0,0.0,1.0,2233.0932,15.0
10.3,0.0,0.146399712,10.0,103.9648,9.0,1.0,0.0,1.0,1661.8368,15.0
5.78,1.0,0.074264356,13.0,264.7568,9.0,1.0,0.0,1.0,4745.8224,15.0
11.85,1.0,0.050186726,6.0,164.1526,7.0,2.0,1.0,1.0,3124.5994,18.0
16.35,0.0,0.020631654,6.0,50.1324,3.0,1.0,2.0,2.0,467.3916,25.0
13.269730168709982,0.0,0.01561108,9.0,182.5976,5.0,1.0,2.0,3.0,5070.7328,1.0
10.5,0.0,0.041395445,6.0,37.6164,8.0,2.0,0.0,1.0,540.6296,13.0
19.0,1.0,0.097313129,5.0,48.0718,8.0,2.0,0.0,1.0,992.7078,13.0
14.6,0.0,0.059582996,11.0,238.8538,9.0,1.0,0.0,1.0,6008.845,15.0
11.885108682902976,1.0,0.098663652,4.0,62.9194,5.0,1.0,2.0,3.0,2105.2596,1.0
15.88274359530557,1.0,0.101338651,3.0,232.63,5.0,1.0,2.0,3.0,5359.69,1.0
18.75,0.0,0.052146456,8.0,104.628,7.0,2.0,1.0,1.0,745.696,18.0
5.26,1.0,0.041764487,0.0,161.8868,6.0,2.0,1.0,1.0,3275.736,20.0
18.25,0.0,0.054344186,13.0,140.2154,7.0,1.0,1.0,1.0,1701.7848,18.0
13.206009762994869,0.0,0.078362484,0.0,177.937,5.0,1.0,2.0,3.0,6704.606,1.0
15.1,0.0,0.052339069,10.0,242.7512,8.0,2.0,0.0,1.0,4119.9704,13.0
15.5,1.0,0.042464962,0.0,81.5934,0.0,1.0,2.0,0.0,327.5736,14.0
13.65,0.0,0.065732883,5.0,45.7402,9.0,1.0,0.0,1.0,780.9834,15.0
16.1,0.0,0.023625114,14.0,189.3846,7.0,1.0,1.0,1.0,3630.6074,18.0
12.949209358915313,1.0,0.051643608,13.0,107.3622,4.0,2.0,0.0,0.0,317.5866,1.0
12.85,0.0,0.165694219,5.0,39.7164,0.0,1.0,2.0,0.0,231.6984,14.0
9.5,0.0,0.041878397,14.0,32.99,6.0,2.0,1.0,1.0,133.16,20.0
13.8,0.0,0.058091482,4.0,245.1802,6.0,2.0,1.0,1.0,5650.6446,20.0
5.78,1.0,0.0,13.0,263.7568,2.0,2.0,1.0,1.0,2636.568,23.0
19.7,0.0,0.026903714,9.0,96.0726,7.0,1.0,1.0,1.0,1272.3438,18.0
14.65,0.0,0.0,9.0,161.5552,0.0,2.0,2.0,0.0,324.9104,14.0
6.67,1.0,0.150554711,13.0,130.0626,0.0,2.0,2.0,0.0,131.1626,14.0
6.11,1.0,0.0,6.0,131.2968,0.0,2.0,2.0,0.0,260.9936,14.0
13.65,1.0,0.134975628,5.0,260.0936,0.0,2.0,2.0,0.0,260.9936,14.0
17.2,0.0,0.15616879,10.0,160.6578,1.0,0.0,2.0,1.0,3690.5294,3.0
6.32,0.0,0.0,10.0,40.2822,6.0,2.0,1.0,1.0,1139.1838,20.0
4.88,1.0,0.133700752,0.0,52.9298,9.0,1.0,0.0,1.0,1995.4026,15.0
5.425,1.0,0.115119905,0.0,88.3514,2.0,2.0,1.0,1.0,1416.8224,23.0
15.85,1.0,0.110030997,5.0,37.2506,8.0,2.0,0.0,1.0,265.6542,13.0
7.5,0.0,0.051038045,3.0,121.7072,2.0,1.0,1.0,1.0,3552.7088,23.0
12.65,0.0,0.062837968,14.0,161.5578,1.0,0.0,2.0,1.0,2406.867,3.0
12.992431434828784,0.0,0.017116983,11.0,211.956,4.0,2.0,0.0,0.0,213.056,1.0
20.75,0.0,0.024129332,6.0,124.173,1.0,0.0,2.0,1.0,2956.152,3.0
15.111553579840564,0.0,0.049754975,4.0,152.134,4.0,2.0,0.0,0.0,153.134,1.0
9.0,0.0,0.0,3.0,79.7644,6.0,2.0,1.0,1.0,1649.8524,20.0
16.15602189493884,0.0,0.101561568,3.0,181.9292,5.0,1.0,2.0,3.0,3101.2964,1.0
14.507750921313843,0.0,0.005949644,9.0,165.6526,5.0,1.0,2.0,3.0,4769.1254,1.0
13.904094978344295,1.0,0.13956116,12.0,170.4764,5.0,1.0,2.0,3.0,3435.528,1.0
14.1,0.0,0.126035694,6.0,86.4198,7.0,1.0,1.0,1.0,1133.8574,18.0
7.55,0.0,0.027164679,3.0,152.334,6.0,2.0,1.0,1.0,2603.278,20.0
13.0,0.0,0.099325278,9.0,45.406,8.0,2.0,0.0,1.0,605.878,13.0
12.40879264599216,0.0,0.04357366,7.0,192.8846,5.0,1.0,2.0,3.0,2293.0152,1.0
9.21507019464245,1.0,0.082741482,13.0,118.7782,4.0,2.0,0.0,0.0,119.1782,1.0
12.3,1.0,0.064565202,15.0,92.9804,1.0,0.0,2.0,1.0,1929.4884,3.0
12.53951294600878,0.0,0.084554569,13.0,109.8912,5.0,1.0,2.0,3.0,2074.6328,1.0
15.713842852634954,0.0,0.058451805,8.0,79.9618,5.0,1.0,2.0,3.0,241.6854,1.0
17.25,0.0,0.113748685,9.0,251.3724,7.0,1.0,1.0,1.0,6795.1548,18.0
15.85,0.0,0.020603511,9.0,42.7112,2.0,0.0,1.0,1.0,639.168,23.0
18.85,0.0,0.052044976,8.0,192.1846,6.0,2.0,1.0,1.0,3248.4382,20.0
16.35,1.0,0.062764429,6.0,227.6062,2.0,1.0,1.0,1.0,7222.5984,23.0
14.1,0.0,0.087977262,4.0,229.0668,6.0,2.0,1.0,1.0,3225.1352,20.0
7.905,0.0,0.010010425,13.0,249.0408,6.0,2.0,1.0,1.0,3755.112,20.0
12.0,0.0,0.033946163,3.0,179.3976,1.0,0.0,2.0,1.0,3440.8544,3.0
12.15,1.0,0.058414678,6.0,163.4552,6.0,2.0,1.0,1.0,974.7312,20.0
10.1,0.0,0.027106459,10.0,75.367,9.0,1.0,0.0,1.0,535.969,15.0
17.5,0.0,0.027022883,5.0,262.491,2.0,1.0,1.0,1.0,5259.82,23.0
18.042791967037243,0.0,0.058153409,4.0,152.034,4.0,2.0,0.0,0.0,306.268,1.0
17.1,0.0,0.128937661,6.0,112.3886,3.0,1.0,2.0,2.0,1779.0176,25.0
7.785,0.0,0.088846306,6.0,61.451,9.0,1.0,0.0,1.0,759.012,15.0
11.8,1.0,0.09357779,13.0,125.9704,1.0,0.0,2.0,1.0,1877.556,3.0
13.15,1.0,0.165694678,6.0,171.8764,7.0,1.0,1.0,1.0,3779.0808,18.0
8.588574931785661,0.0,0.148392623,5.0,41.5796,4.0,2.0,0.0,0.0,41.2796,1.0
8.5,0.0,0.098438394,3.0,51.1324,2.0,2.0,1.0,1.0,259.662,23.0
8.645,0.0,0.143303291,8.0,96.341,1.0,0.0,2.0,1.0,193.082,3.0
17.6,1.0,0.076276208,10.0,110.9202,7.0,1.0,1.0,1.0,1687.803,18.0
9.1,0.0,0.175103435,0.0,127.5362,2.0,2.0,1.0,1.0,4655.9394,23.0
12.8,1.0,0.023511371,10.0,225.9404,1.0,0.0,2.0,1.0,4950.8888,3.0
7.63,0.0,0.06105276,14.0,95.4436,6.0,2.0,1.0,1.0,1418.154,20.0
9.285,1.0,0.049559042,5.0,246.4144,2.0,1.0,1.0,1.0,1225.072,23.0
13.6,1.0,0.119418124,4.0,231.03,7.0,1.0,1.0,1.0,5359.69,18.0
8.895,0.0,0.072545601,2.0,176.237,7.0,1.0,1.0,1.0,1764.37,18.0
16.35,0.0,0.090486828,9.0,195.211,1.0,0.0,2.0,1.0,2553.343,3.0
17.6,0.0,0.056245075,5.0,43.3454,1.0,0.0,2.0,1.0,1006.6896,3.0
7.975,0.0,0.014618973,0.0,85.225,1.0,0.0,2.0,1.0,1081.925,3.0
15.85,0.0,0.043479126,15.0,36.7164,2.0,1.0,1.0,1.0,308.9312,23.0
15.7,0.0,0.045166237,5.0,178.666,1.0,0.0,2.0,1.0,2516.724,3.0
8.985,1.0,0.057827101,5.0,128.831,8.0,2.0,0.0,1.0,1428.141,13.0
20.35,0.0,0.089394766,4.0,260.1594,1.0,0.0,2.0,1.0,2093.2752,3.0
6.59,0.0,0.10550944,6.0,85.6908,1.0,0.0,2.0,1.0,1929.4884,3.0
19.85,0.0,0.005234153,4.0,264.0884,6.0,2.0,1.0,1.0,5829.7448,20.0
16.85,0.0,0.036390174,13.0,91.4488,8.0,2.0,0.0,1.0,2082.6224,13.0
12.425286121866066,0.0,0.03292824,10.0,173.1738,5.0,1.0,2.0,3.0,7298.4996,1.0
16.75,0.0,0.081252534,6.0,256.4988,1.0,0.0,2.0,1.0,7452.9652,3.0
17.6,1.0,0.076552407,10.0,110.5202,2.0,2.0,1.0,1.0,450.0808,23.0
7.905,0.0,0.016758569,13.0,250.4408,0.0,1.0,2.0,0.0,500.6816,14.0
13.021035213412443,0.0,0.044248175,13.0,126.202,5.0,1.0,2.0,3.0,3668.558,1.0
7.785,1.0,0.038288087,6.0,103.1964,3.0,1.0,2.0,2.0,736.3748,25.0
7.825,0.0,0.186032678,9.0,253.0698,6.0,2.0,1.0,1.0,6088.0752,20.0
13.094466213898126,0.0,0.031867464,9.0,101.0016,5.0,1.0,2.0,3.0,2125.2336,1.0
